【二手販售清單 - 共 367 款】

✅ 完整（206 款）
  [55] 富途共樂（NT$1690）
  [1337] 天下無雙 第一戰：傳奇之戰（NT$1400）
  [1340] 曼陀羅石（NT$1380）
  [1341] 派遣小鎮（NT$1350）
  [1342] 呼嘯山脈（NT$2000）
  [1343] 江戶職人物語（NT$1190）
  [1346] 心流密碼（NT$590）
  [1360] 山貓奇襲（NT$490）
  [1361] 連線計畫（NT$850）
  [1371] 繞著地球跑（NT$590）
  [1375] 煞有其時（NT$1490）
  [1392] 雨後新香（NT$1490）
  [1393] 掘跡藍星（NT$4000）
  [1406] 賽馬大亨（NT$1290）
  [1430] 印加聖谷（NT$1350）
  [1439] 凱爾特之森（NT$950）
  [1440] 奈斯爾傳奇（NT$1900）
  [1451] 環世80天（NT$1290）
  [1452] 花園國度（NT$1300）
  [1455] 矮人礦坑：礦洞逃生（NT$690）
  [1457] 布魯塞爾1893（NT$2190）
  [1458] 終焉帝國（NT$2350）
  [1470] 熱力狂飆（NT$2400）
  [1475] 三環馬戲團（NT$1400）
  [1481] 海鹽摺紙（NT$550）
  [1501] 死灰之冠豪華版（NT$2250）
  [1502] 跑馬圈地（NT$450）
  [1504] 月光光心慌慌（NT$1990）
  [1506] 大不里士豪華版（NT$2600）
  [1512] 決戰詭牌鎮（NT$550）
  [1520] 影子家族：揭密時刻（NT$420）
  [1521] 暗貨（NT$790）
  [1522] 一線勝機（NT$550）
  [1528] 骰子工廠（NT$1180）
  [1544] 貝克街動物偵探團（NT$1150）
  [1546] 皮納塔派對（NT$390）
  [1551] 擇日而獵（NT$450）
  [1574] 珊瑚計畫（NT$1650）
  [1581] 靈光乍現（NT$600）
  [1585] 神秘導語（NT$990）
  [1609] 阿拉伯物語-瓦拉多冒險記（NT$490）
  [1632] 竹靈之道（NT$1100）
  [1638] 無敵少俠（NT$1650）
  [1660] 咖啡商人（NT$4000）

❌ 缺定價（116 款）
  [26] 塔羅說書人 + 無圖
  [29] 尼安德特人 + 無圖
  [31] 亡命之徒 + 無圖
  [92] 夢境之地 + 無圖
  [104] 格陵蘭島 + 無圖
  [138] 捕鯨船 + 無圖
  [150] 漫威英雄套牌構築遊戲 + 無圖
  [198] 卡吞那 + 無圖
  [205] 拯救路 + 無圖
  [209] 夏洛克福爾摩斯 + 無圖
  [223] 奧林帕斯戰場 + 無圖
  [241] 國王與刺客 + 無圖
  [273] 絕谷戰士 + 無圖
  [288] 哞！豪華版 + 無圖
  [314] 生化奇兵：無限 + 無圖
  [340] 大阪商人 + 無圖
  [345] 人類起源 + 無圖
  [398] 神秘谷 + 無圖
  [399] 侍 + 無圖
  [400] 南極危機 + 無圖
  [408] 蘇丹尼亞 + 無圖
  [411] 糖果獵人 + 無圖
  [432] 瘋狂地下城 + 無圖
  [439] 動物反抗軍 + 無圖
  [440] 瘋魔口袋 + 無圖
  [444] 聖光之城 + 無圖
  [449] 五年五百億大亂鬥 + 無圖
  [467] 光合作用 + 無圖
  [475] 樂澀愛 + 無圖
  [490] 狡兔三窟 + 無圖
  [498] 古物有限公司 + 無圖
  [509] 暴走彈彈獸 + 無圖
  [535] 狼與獵犬 + 無圖
  [536] 逃離太空站 + 無圖
  [539] 皇后的項鍊 + 無圖
  [549] 海盜幣 + 無圖
  [553] 歐提斯：海淵 + 無圖
  [555] 愛因斯坦 + 無圖
  [557] 世博１８９３ + 無圖
  [561] Covert + 無圖
  [580] Night Clan + 無圖
  [610] 金魚撈撈 + 無圖
  [622] Palazzo + 無圖
  [645] 比薩快遞 + 無圖
  [646] LA STANZA + 無圖
  [647] 礦井人生 + 無圖
  [649] 第九號交響曲 + 無圖
  [655] 雲海 + 無圖
  [657] 豐收 + 無圖
  [658] 黃金時代 + 無圖
  [675] 圓樓 + 無圖
  [714] 龍焰 + 無圖
  [726] 特攻神諜 + 無圖
  [730] 騎士精神 + 無圖
  [741] 撰寫文明史 + 無圖
  [743] 古巴 + 無圖
  [759] 西班牙鐵路 + 無圖
  [762] 時光當鋪 + 無圖
  [766] 病毒 + 無圖
  [767] 瘋狂建築工 + 無圖
  [772] 慢車小鎮 + 無圖
  [776] Pralaya + 無圖
  [789] 聖鳥之城 + 無圖
  [797] 晦暗世界：童話版 + 無圖
  [818] 辣椒之王 + 無圖
  [832] 龍宮盜寶 + 無圖
  [873] 霸業2030 + 無圖
  [883] 跑跑針鼴鼠 + 無圖
  [884] 鯊魚博士 + 無圖
  [905] 最後衝刺 + 無圖
  [925] 芝加哥特快車 + 無圖
  [930] 魔數大師 + 無圖
  [934] 第一類接觸 + 無圖
  [938] 未命名農場生物 + 無圖
  [939] 寂靜迷航 + 無圖
  [971] 小短手的星期天 + 無圖
  [979] 漫遊世界 + 無圖
  [997] 大商人 + 無圖
  [1002] 豪賭風雲 + 無圖
  [1012] 羅馬競技場 + 無圖
  [1016] 阿奎利亞城 + 無圖
  [1023] 狩獵季 + 無圖
  [1027] 雪之時
  [1048] CINECITTA 1937 + 無圖
  [1049] Argoat + 無圖
  [1051] 果盜檸檸七 + 無圖
  [1058] 迷你鐵道王 + 無圖
  [1060] 盜賊市集 + 無圖
  [1067] 宇宙怪獸 + 無圖
  [1084] 舞星 + 無圖
  [1096] 花市 + 無圖
  [1103] 香蕉共和國
  [1107] 一知半解古董市 + 無圖
  [1113] 泥巴大戰 + 無圖
  [1133] Gangster Paradise + 無圖
  [1145] 眾裡尋他 + 無圖
  [1190] 進擊的巨獸 + 無圖
  [1194] 空想世界 + 無圖
  [1196] 海格力士的12試煉 + 無圖
  [1203] 手造奇觀：波蘭版 + 無圖
  [1210] 驚魂巴哈馬 + 無圖
  [1214] 追捕艾德勒 + 無圖
  [1217] 點陣圖 + 無圖
  [1225] 天堂，我要進來了！ + 無圖
  [1233] 教父風雲 + 無圖
  [1253] 留里克王朝：基輔的黎明 + 無圖
  [1298] 重裝上陣-榮譽之戰 企業冠名戰隊包1擴充 + 無圖
  [1299] 重裝上陣-榮譽之戰 奪旗賽擴充 + 無圖
  [1300] 重裝上陣-榮譽之戰 轟隆鳴動擴充 + 無圖
  [1301] 瞄準！開砲！霹靂投石車 + 無圖
  [1370] 人勞 + 無圖
  [1385] 橡樹秘境 + 無圖
  [1386] 瓦萊利亞之暗影王國 + 無圖
  [1387] 瓦萊利亞之暗影王國：泰坦崛起 + 無圖
  [1432] 就這樣我成為了聖劍王 + 無圖
  [1604] 星靈王座 + 無圖

⚠️ 有定價但缺圖（45 款）
  [21] Pyramid Arcade（NT$3000）
  [34] 骰子城（NT$1320）
  [44] 倫敦商會（NT$2280）
  [90] 溫達克（NT$2150）
  [255] 封神（NT$500）
  [303] Duel of Ages Set 1: Worldspanner（NT$500）
  [304] Duel of Ages Set 2: Intensity（NT$500）
  [305] DUEL OF AGES Master Addendum（NT$500）
  [450] 貪心農夫（NT$390）
  [451] 英雄總是最後一個到（NT$490）
  [559] 迷你文明（NT$990）
  [585] 大蒜與十字架（NT$500）
  [740] 抖抖山大冒險（NT$690）
  [801] 寺廟巧匠（NT$490）
  [845] 駱駝大賽紙牌版（NT$1490）
  [907] 蜥蓋（NT$500）
  [928] 迷你都市（NT$1200）
  [1025] 動物瘋（NT$590）
  [1026] 勇者不過是個ATM（NT$690）
  [1052] 火柴盒系列 禪宗大師（NT$350）
  [1091] Dragon draft（NT$500）
  [1124] 編年史（NT$350）
  [1130] 玄武門之變—八卦篇（NT$390）
  [1236] 古董局中局（NT$2400）
  [1266] 雲遊（NT$890）
  [1297] 重裝上陣-榮譽之戰（NT$1490）
  [1350] 王權暗戰（NT$1150）
  [1394] 掘跡藍星-第二波（NT$4000）
  [1395] 掘跡藍星-銀河博物館（NT$4000）
  [1396] 掘跡藍星: 漂亮盒子（NT$4000）
  [1397] 掘跡藍星: 垃圾金屬（NT$4000）
  [1408] 飛行船都市（NT$1200）
  [1413] 魔藥無雙（NT$790）
  [1415] 翻滾雲霄飛車（NT$1350）
  [1431] 利曼24小時耐力賽（NT$450）
  [1459] DELTA（NT$1750）
  [1464] 巨魔與公主（NT$1750）
  [1483] 風語花鄉（NT$1890）
  [1507] 我的好朋友（NT$690）
  [1537] 青青珊瑚島（NT$990）
  [1547] 失落之地（NT$850）
  [1588] 喵10（NT$450）
  [1589] 樸宿桌迷藏（NT$550）
  [1598] 粉墨登場（NT$690）
  [1605] 聰明玩家（NT$330）
